Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
mthfr mutation,27,78,18100,57,0.14,https://proactivwellnesscenters.com/hormone-replacement/mthfr-implications-and-treatment/,12,1.04,1.00,0.15,2360000,"[44,44,44,67,54,67,44,67,44,44,44,44]",2026-02-19,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
mthfr mutation,29,78,18100,57,0.14,https://proactivwellnesscenters.com/hormone-replacement/mthfr-implications-and-treatment/,12,1.04,1.00,0.15,2360000,"[44,44,44,67,54,67,44,67,44,44,44,44]",2026-02-19,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
proactive wellness center,10,10,390,48,1.93,https://proactivwellnesscenters.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=gbp-profile,12,1.04,23.00,0.11,32600000,"[66,81,100,54,100,100,66,66,81,66,81,66]",2025-12-25,"Knowledge panel, Sitelinks, Video, Image, Ads bottom, Related searches",navigational,Knowledge panel
dr lynese lawson,1,1,50,5,1.26,https://proactivwellnesscenters.com/dr-lawson/,12,1.04,15.00,0.11,4330,"[18,18,18,18,18,18,18,100,100,100,63,100]",2025-12-20,"Knowledge panel, Sitelinks, Video",informational,Organic
morbid obesity rehabilitation centers near me,1,1,140,22,0.00,https://proactivwellnesscenters.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=gbp-profile,11,0.96,0.00,0,1430000,"[23,28,35,35,23,28,28,53,43,43,35,66]",2026-02-06,"Local pack, People also ask, Related searches, AI overview",transactional,Local pack
proactive wellness,5,5,480,27,1.93,https://proactivwellnesscenters.com/contact-us/epatientportal/,11,0.96,21.00,0.11,52900000,"[30,30,36,36,45,36,36,30,36,36,36,36]",2026-01-11,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
cistus incanus,1,1,480,25,0.57,https://proactivwellnesscenters.com/the-super-food-that-fights-super-bugs-naturally/,10,0.87,5.00,1,447000,"[48,39,32,39,48,72,59,39,39,26,59,72]",2026-02-11,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,People also ask
hormone replacement therapy in vienna va,1,1,70,1,0.00,https://proactivwellnesscenters.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=gbp-profile,9,0.78,0.00,0.2,111000,"[64,64,64,64,64,50,64,100,78,35,7,14]",2026-01-27,"Local pack, Image, Related searches",commercial,Local pack
hormone replacement therapy in vienna virginia,1,1,70,3,4.09,https://proactivwellnesscenters.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=gbp-profile,9,0.78,36.00,0.26,116000,"[35,28,28,17,17,17,17,28,28,7,2,2]",2026-01-26,"Local pack, People also ask, Related searches",commercial,Local pack
gainswave therapy in vienna virginia,4,4,140,5,3.31,https://proactivwellnesscenters.com/gainswave-therapy/tysons-corner/,9,0.78,29.00,0.47,652,"[81,100,100,81,0,0,4,4,4,0,0,0]",2025-12-23,"Local pack, Sitelinks",navigational,Organic
proactive wellness,8,8,480,27,1.93,https://proactivwellnesscenters.com/home/,9,0.78,17.00,0.11,52900000,"[30,30,36,36,45,36,36,30,36,36,36,36]",2026-01-11,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
bioidentical hormone replacement in vienna va,1,1,110,2,0.00,https://proactivwellnesscenters.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=gbp-profile,7,0.61,0.00,0.16,8010,"[42,52,100,33,42,42,66,42,52,52,23,23]",2026-01-20,"Local pack, Video, Image, AI overview",commercial,Local pack
proactive wellness centers in vienna va,10,10,210,,0.00,https://proactivwellnesscenters.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=gbp-profile,7,0.61,0.00,0.31,54600,"[81,100,81,66,22,22,29,18,35,35,18,18]",2026-01-13,"Knowledge panel, Sitelinks, Image, Related searches","informational, transactional",Knowledge panel
mthfr therapy,4,4,210,22,0.53,https://proactivwellnesscenters.com/hormone-replacement/mthfr-implications-and-treatment/,6,0.52,3.00,0.45,542000,"[35,28,15,23,15,100,66,23,23,66,81,5]",2026-01-22,"Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
incanus cistus,1,1,210,24,0.75,https://proactivwellnesscenters.com/the-super-food-that-fights-super-bugs-naturally/,6,0.52,4.00,0.75,286000,"[28,18,35,23,35,8,23,100,81,23,18,23]",2025-12-20,"Knowledge panel, Video, Video Carousel, People also ask, Related searches",informational,People also ask
mthfr gene mutation symptoms,28,28,9900,43,0.00,https://proactivwellnesscenters.com/hormone-replacement/mthfr-implications-and-treatment/,6,0.52,0.00,0,2000000,"[36,44,66,54,54,66,66,66,100,81,66,66]",2026-02-12,"Image pack, Sitelinks, Image, Ads bottom, People also ask, Related searches, AI overview",informational,Organic
trt in vienna virginia,6,6,210,0,0.00,https://proactivwellnesscenters.com/trt/tysons-corner/,6,0.52,0.00,0.05,104000,"[82,100,82,82,82,35,28,35,35,53,28,28]",2025-12-22,"Sitelinks, Video, AI overview",informational,Organic
medical weight loss clinic gaithersburg va,7,7,260,3,0.00,https://proactivwellnesscenters.com/medical-weight-loss/gaithersburg/,5,0.43,0.00,0,297000,"[35,100,66,43]",2026-01-11,"Local pack, Sitelinks, Image, Related searches",commercial,Organic
mold rash images,1,1,140,35,0.00,https://proactivwellnesscenters.com/cirs-mold-toxicity-treatment/herndon/,5,0.43,0.00,0.01,2970000,"[65,80,65,26,34,65,26,26,80,26,42,42]",2026-01-15,"Image pack, Image, People also ask, Related searches, Discussions and forums",informational,Image pack
proactive wellness centers in vienna va,2,2,210,,0.00,https://proactivwellnesscenters.com/our-locations/,5,0.43,0.00,0.31,54600,"[81,100,81,66,22,22,29,18,35,35,18,18]",2026-01-13,"Knowledge panel, Sitelinks, Image, Related searches","informational, transactional",Organic
pro active wellness center,4,4,70,14,1.55,https://proactivwellnesscenters.com/,4,0.34,6.00,0.17,153000000,"[6,2,81,0,0,35,0,0,14,0,22,0]",2026-02-17,"Knowledge panel, Sitelinks, Video, Image, Related searches",navigational,Organic
trt in vienna va,6,6,210,3,0.00,https://proactivwellnesscenters.com/trt/tysons-corner/,4,0.34,0.00,0.03,105000,"[53,82,100,82,66,82,23,35,35,35,43,53]",2025-12-21,"Local pack, AI overview","commercial, informational",Organic
mthfr mutation symptoms,30,30,6600,34,0.11,https://proactivwellnesscenters.com/hormone-replacement/mthfr-implications-and-treatment/,4,0.34,0.00,0.14,2170000,"[29,13,66,81,81,54,81,100,66,66,54,54]",2026-02-14,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
gaithersburg low testosterone,4,4,70,0,0.00,https://proactivwellnesscenters.com/trt/gaithersburg/,4,0.34,0.00,0,6450000,"[18,45,100]",2026-02-17,Video,"informational, transactional",Organic
heart attack prevention in vienna virginia,5,8,210,0,0.00,https://proactivwellnesscenters.com/hormone-replacement/heart-attack-and-stroke-prevention/,4,0.34,0.00,0,3780000,"[66,100,66,66,6,14,18,22,66,29,54,43]",2026-02-19,"Video, People also ask, Related searches, AI overview",informational,Organic
heart attack prevention in vienna va,7,7,170,0,0.00,https://proactivwellnesscenters.com/hormone-replacement/heart-attack-and-stroke-prevention/,4,0.34,0.00,0,3650000,"[100,81,53,81,21,34,28,34,65,34,53,65]",2026-02-16,"Video, Image, Related searches, AI overview",informational,Organic
obesity doctor near me,8,8,880,4,7.07,https://proactivwellnesscenters.com/medical-weight-loss/fairfax/,4,0.34,28.00,0.8,142,"[24,34,30,24,55,34,24,30,34,24,20,20]",2026-02-04,"Local pack, Video, People also ask, Related searches",transactional,Organic
gainswave therapy in vienna virginia,7,7,140,5,3.31,https://proactivwellnesscenters.com/hormone-replacement/northern-virginia-gainswave-mens-sexual-wellness-enhancement/,4,0.34,13.00,0.47,652,"[81,100,100,81,0,0,4,4,4,0,0,0]",2025-12-23,"Local pack, Sitelinks",navigational,Organic
low testosterone gaithersburg,3,3,70,5,0.00,https://proactivwellnesscenters.com/trt/gaithersburg/,4,0.34,0.00,0,7420000,"[33,77,100]",2026-02-10,"Local pack, Video, Image, People also ask, AI overview",informational,Organic
proactive wellness centers in vienna virginia,10,10,140,15,0.00,https://proactivwellnesscenters.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=gbp-profile,4,0.34,0.00,0,42300,"[100,82,66,28,12,12,23,35,35,17,2,5]",2026-02-08,"Knowledge panel, Sitelinks, People also ask, Related searches",navigational,Knowledge panel
proactive stores,1,1,30,38,1.00,https://proactivwellnesscenters.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=gbp-profile,3,0.26,3.00,0.95,119000000,"[75,100,75,100,75,50,50,75,75,50,50,50]",2025-12-12,"Local pack, Sitelinks, Video, Image, Related searches",navigational,Local pack
testosterone replacement therapy near me,22,22,4400,53,0.00,https://proactivwellnesscenters.com/trt/leesburg/,3,0.26,0.00,0,22000000,"[10,10,10,13,15,29,23,36,81,81,66,66]",2026-02-10,"Local pack, Video, People also ask, Related searches, AI overview","informational, transactional",Organic
weight loss facilities near me,11,11,880,25,9.18,https://proactivwellnesscenters.com/medical-weight-loss/fairfax/,3,0.26,27.00,0.78,368000000,"[29,24,1,53,3,3,53,5,10,5,4,3]",2026-02-06,"Local pack, Video, People also ask, Related searches",transactional,Organic
compounding bhrt falls church,4,4,50,2,0.00,https://proactivwellnesscenters.com/hormone-replacement/bioidentical-hormone-replacement-therapy-for-women/,3,0.26,0.00,0,117000,"[42,42,57,100,100]",2026-02-18,"Local pack, Video, Related searches",commercial,Organic
pellet implant,1,1,90,46,1.34,https://proactivwellnesscenters.com/hormone-replacement/bioidentical-pellet-implant-therapy/,3,0.26,4.00,0.18,1820000,"[35,64,50,64,50,64,64,78,78,50,78,64]",2026-01-14,"Image pack, Video, People also ask, Related searches, AI overview",informational,Image pack
low t treatment loudoun county,5,5,90,0,0.00,https://proactivwellnesscenters.com/trt/leesburg/,2,0.17,0.00,0,243000,"[0,0,17,10,0,0,0,0,100,66,35,43]",2026-01-01,"Local pack, Video, Image",commercial,Organic
low testosterone alexandria,5,5,50,1,0.00,https://proactivwellnesscenters.com/trt/alexandria/,2,0.17,0.00,0,42200000,"[42,71,100]",2026-02-18,"Knowledge panel, Sitelinks, Related searches",informational,Organic
hrt in vienna va,8,8,140,4,0.00,https://proactivwellnesscenters.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=gbp-profile,2,0.17,0.00,0.06,123000,"[80,65,100,19,34,53,65,34,34,80,19,34]",2026-01-22,"Local pack, Video, Image, Related searches, AI overview",commercial,Local pack
8245 boone blvd tysons va 22182,4,4,40,0,0.00,https://proactivwellnesscenters.com/contact-us/directions-to-the-office/,2,0.17,0.00,0.24,4490,"[50,35,35,35,35,35,14,14,14,14,14,14]",2025-12-06,Related searches,informational,Organic
testosterone pellet insertion,4,4,210,40,0.00,https://proactivwellnesscenters.com/hormone-replacement/bioidentical-pellet-implant-therapy/,2,0.17,0.00,0,247000,"[100,0,17,43,53,53,66,43,66,66,66,53]",2025-12-27,"Image pack, Video, Image, Related searches, See results about, AI overview",informational,Image pack
gainswave therapy in vienna va,4,4,210,12,0.00,https://proactivwellnesscenters.com/gainswave-therapy/tysons-corner/,2,0.17,0.00,0.13,455,"[66,100,66,44,15,18,15,18,35,18,15,15]",2026-02-08,"Local pack, People also ask, AI overview","informational, transactional",Organic
proactive wellness centers in vienna va,5,5,210,,0.00,https://proactivwellnesscenters.com/contact-us/directions-to-the-office/,2,0.17,0.00,0.31,54600,"[81,100,81,66,22,22,29,18,35,35,18,18]",2026-01-13,"Knowledge panel, Sitelinks, Image, Related searches","informational, transactional",Organic
lynese lawson,7,21,70,7,2.86,https://proactivwellnesscenters.com/,2,0.17,5.00,0.04,4050,"[27,45,27,27,36,100,100,100,63,100,45,100]",2026-02-19,"Knowledge panel, Sitelinks, Video, Related searches",informational,Organic
mthfr gene mutation treatment,19,19,1300,46,0.51,https://proactivwellnesscenters.com/hormone-replacement/mthfr-implications-and-treatment/,1,0.08,0.00,0.41,1660000,"[37,52,46,84,84,84,84,100,68,100,100,68]",2026-02-11,"Sitelinks, Image, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
proactive login,9,9,320,13,2.79,https://proactivwellnesscenters.com/patient-area/,1,0.08,2.00,0.33,135000000,"[16,16,30,20,24,24,16,20,24,20,20,20]",2026-01-13,"Sitelinks, Related searches","navigational, transactional",Organic
weight loss near me,49,79,12100,51,9.91,https://proactivwellnesscenters.com/medical-weight-loss/fairfax/,1,0.08,9.00,0.58,1630000000,"[54,36,81,54,36,36,54,54,44,36,44,36]",2026-02-19,"Local pack, People also ask, Related searches, AI overview",transactional,Organic
biotoxin binder side effects,11,11,140,1,0.00,https://proactivwellnesscenters.com/anti-aging/detox-programs/,1,0.08,0.00,0.04,6330,"[35,29,29,22,43,35,29,29,35,35,29,22]",2026-01-02,"Sitelinks, Related searches, AI overview",informational,Organic
hormone replacement therapy in vienna va,7,7,70,1,0.00,https://proactivwellnesscenters.com/hormone-replacement/,1,0.08,0.00,0.2,111000,"[64,64,64,64,64,50,64,100,78,35,7,14]",2026-01-27,"Local pack, Image, Related searches",commercial,Organic
low t treatment fairfax county,6,6,170,23,0.00,https://proactivwellnesscenters.com/trt/fairfax/,1,0.08,0.00,0.33,2660000,"[0,17,28,7,12,43,82,100,82,35,43,66]",2026-02-03,"Local pack, People also ask, Related searches, AI overview",commercial,Organic
hormone replacement therapy in vienna virginia,7,7,70,3,4.09,https://proactivwellnesscenters.com/hormone-replacement/,1,0.08,4.00,0.26,116000,"[35,28,28,17,17,17,17,28,28,7,2,2]",2026-01-26,"Local pack, People also ask, Related searches",commercial,Organic
hrt in vienna va,9,9,140,4,0.00,https://proactivwellnesscenters.com/hormone-replacement/,1,0.08,0.00,0.06,123000,"[80,65,100,19,34,53,65,34,34,80,19,34]",2026-01-22,"Local pack, Video, Image, Related searches, AI overview",commercial,Organic
diet clinic near me,17,17,1000,46,6.22,https://proactivwellnesscenters.com/medical-weight-loss/fairfax/,1,0.08,6.00,0.67,498000000,"[36,41,36,54,54,36,41,54,36,36,41,30]",2026-02-15,"Local pack, Video, People also ask, Related searches",transactional,Organic
true vitality medical center,10,10,720,26,4.07,https://proactivwellnesscenters.com/trt/tysons-corner/,1,0.08,4.00,0.06,15900000,"[39,72,88,100,88,100,88,72,48,48,39,72]",2026-01-15,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
proactive md patient portal,7,7,140,16,0.00,https://proactivwellnesscenters.com/contact-us/epatientportal/,1,0.08,0.00,0.01,10000000,"[28,43,43,53,43,28,28,53,34,43,43,43]",2026-02-01,"Sitelinks, Related searches",navigational,Organic
gainswave therapy in vienna va,6,6,210,12,0.00,https://proactivwellnesscenters.com/gainswave-therapy/arlington/,1,0.08,0.00,0.13,455,"[66,100,66,44,15,18,15,18,35,18,15,15]",2026-02-08,"Local pack, People also ask, AI overview","informational, transactional",Organic
proactive wellness centers in vienna va,8,8,210,,0.00,https://proactivwellnesscenters.com/contact-us/,1,0.08,0.00,0.31,54600,"[81,100,81,66,22,22,29,18,35,35,18,18]",2026-01-13,"Knowledge panel, Sitelinks, Image, Related searches","informational, transactional",Organic
proactive wellness centers in vienna va,10,10,210,,0.00,https://proactivwellnesscenters.com/home/,1,0.08,0.00,0.31,54600,"[81,100,81,66,22,22,29,18,35,35,18,18]",2026-01-13,"Knowledge panel, Sitelinks, Image, Related searches","informational, transactional",Organic
gaithersburg obesity,5,5,50,2,0.00,https://proactivwellnesscenters.com/medical-weight-loss/gaithersburg/,1,0.08,0.00,0,440000,"[42,100,100]",2026-02-08,"People also ask, Related searches, AI overview",informational,Organic
dr lynese lawson,10,10,50,5,1.26,https://proactivwellnesscenters.com/,1,0.08,1.00,0.11,4330,"[18,18,18,18,18,18,18,100,100,100,63,100]",2025-12-20,"Knowledge panel, Sitelinks, Video",informational,Organic
testosterone treatment for men near 17019,10,10,390,3,0.00,https://proactivwellnesscenters.com/trt/harrisburg/,1,0.08,0.00,0,26100,"[100,0,0,0,0]",2026-01-21,"Local pack, Image, Ads bottom, People also ask, Related searches, AI overview",informational,Organic
proactive wellness centers in vienna virginia,4,4,140,15,0.00,https://proactivwellnesscenters.com/contact-us/directions-to-the-office/,1,0.08,0.00,0,42300,"[100,82,66,28,12,12,23,35,35,17,2,5]",2026-02-08,"Knowledge panel, Sitelinks, People also ask, Related searches",navigational,Organic
proactive wellness centers in vienna virginia,5,5,140,15,0.00,https://proactivwellnesscenters.com/home/,1,0.08,0.00,0,42300,"[100,82,66,28,12,12,23,35,35,17,2,5]",2026-02-08,"Knowledge panel, Sitelinks, People also ask, Related searches",navigational,Organic
8245 boone blvd,7,7,50,0,0.00,https://proactivwellnesscenters.com/contact-us/directions-to-the-office/,1,0.08,0.00,0.04,32100,"[7,26,42,26,11,15,19,26,19,19,26,7]",2026-01-20,"Image, Related searches",informational,Organic
therapy for men virginia square,6,6,40,12,0.00,https://proactivwellnesscenters.com/gainswave-therapy/arlington/,1,0.08,0.00,0,18400000,"[0,33,100,77,22,11]",2026-01-03,"Knowledge panel, Video",transactional,Organic
carboxy cell core,30,30,70,6,1.34,https://proactivwellnesscenters.com/intestinal-permeability-leaky-gut-diagnosis-and-treatment/,0,0,0.00,1,860000,"[12,12,9,12,6,3,9,43,43,43,43,34]",2025-12-22,"Sitelinks, Video, Ads bottom, People also ask, Related searches","commercial, informational",Organic
gainswave hunt valley,29,29,40,5,0.00,https://proactivwellnesscenters.com/gainswave-therapy/tysons-corner/,0,0,0.00,0,1170,"[100,80,20]",2026-01-09,Video,"navigational, transactional",Organic
gainswave hunt valley,63,63,40,5,0.00,https://proactivwellnesscenters.com/gainswave-therapy/tysons-corner/,0,0,0.00,0,1170,"[100,80,20]",2026-01-09,Video,"navigational, transactional",Organic
gainswave hunt valley,80,80,40,5,0.00,https://proactivwellnesscenters.com/gainswave-therapy/prince-georges-county/,0,0,0.00,0,1170,"[100,80,20]",2026-01-09,Video,"navigational, transactional",Organic
gainswave hunt valley,97,97,40,5,0.00,https://proactivwellnesscenters.com/gainswave-therapy/prince-georges-county/,0,0,0.00,0,1170,"[100,80,20]",2026-01-09,Video,"navigational, transactional",Organic
pro active wellness center,21,21,70,14,1.55,https://proactivwellnesscenters.com/patient-area/,0,0,0.00,0.17,153000000,"[6,2,81,0,0,35,0,0,14,0,22,0]",2026-02-17,"Knowledge panel, Sitelinks, Video, Image, Related searches",navigational,Organic
active family wellness reviews,50,50,90,15,0.00,https://proactivwellnesscenters.com/patient-reviews/,0,0,0.00,0.01,261000000,"[78,78,78,78,78,78,50,100,50,50,50,21]",2025-12-22,"Knowledge panel, Sitelinks, Video, Related searches, AI overview",commercial,Organic
active family wellness reviews,55,55,90,15,0.00,https://proactivwellnesscenters.com/patient-reviews/,0,0,0.00,0.01,261000000,"[78,78,78,78,78,78,50,100,50,50,50,21]",2025-12-22,"Knowledge panel, Sitelinks, Video, Related searches, AI overview",commercial,Organic
vitamin d and mthfr,49,49,40,10,0.52,https://proactivwellnesscenters.com/hormone-replacement/mthfr-implications-and-treatment/,0,0,0.00,0.43,2600000,"[41,41,41,29,23,17,23,41,5,41,0,0]",2026-01-27,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
how can you test your house for mold,1,1,40,35,1.32,https://proactivwellnesscenters.com/cirs-mold-toxicity-treatment/alexandria/,0,0,0.00,0.91,98700000,"[14,23,33,4,4,4,4,4,4,9,4,100]",2026-01-16,"Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
rejuvenations herndon,50,50,210,34,1.50,https://proactivwellnesscenters.com/pwc-max-weight-loss-program/herndon/,0,0,0.00,0.06,65300,"[18,35,28,28,8,23,100,54,23,23,54,44]",2025-12-28,"Knowledge panel, Sitelinks, Video, Image, Related searches",navigational,Organic
rejuvenations herndon,95,95,210,34,1.50,https://proactivwellnesscenters.com/gainswave-therapy/herndon/,0,0,0.00,0.06,65300,"[18,35,28,28,8,23,100,54,23,23,54,44]",2025-12-28,"Knowledge panel, Sitelinks, Video, Image, Related searches",navigational,Organic
why is mold bad,76,76,210,,0.71,https://proactivwellnesscenters.com/mold-illness-all-you-need-to-know/,0,0,0.00,0.04,263000000,"[53,53,53,53,53,66,53,53,43,43,53,66]",2026-01-05,"Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
weight loss washington pa,28,28,30,17,9.95,https://proactivwellnesscenters.com/medical-weight-loss/pittsburgh/,0,0,0.00,0.65,154000000,"[5,2,2,4,5,2,2,5,2,2,2,2]",2025-12-13,"Knowledge panel, Sitelinks, Related searches",navigational,Organic
absolute weight loss,91,91,210,19,6.90,https://proactivwellnesscenters.com/medical-weight-loss/pittsburgh/,0,0,0.00,0.3,236000000,"[43,43,35,43,54,54,35,43,43,43,54,43]",2026-02-01,"Local pack, Video, People also ask, Related searches",commercial,Organic
md maximum weight loss medical center,10,10,260,31,2.63,https://proactivwellnesscenters.com/pwc-max-weight-loss-program/gaithersburg/,0,0,0.00,0.1,185000000,"[8,7,5,11,13,20,16,20,13,20,13,8]",2026-01-29,"Knowledge panel, Sitelinks, Image, People also ask, Related searches",navigational,Organic
md maximum weight loss medical center,87,87,260,31,2.63,https://proactivwellnesscenters.com/medical-weight-loss/rockville/,0,0,0.00,0.1,185000000,"[8,7,5,11,13,20,16,20,13,20,13,8]",2026-01-29,"Knowledge panel, Sitelinks, Image, People also ask, Related searches",navigational,Organic
weightloss centers,90,90,90,,9.71,https://proactivwellnesscenters.com/medical-weight-loss/fairfax/,0,0,0.00,0.43,673000000,"[0,2,35,35,14,18,22,14,29,2,18,18]",2026-01-30,"Local pack, Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches, See results about",commercial,Organic
semaglutide columbia md,12,12,90,3,0.00,https://proactivwellnesscenters.com/medical-weight-loss/columbia/,0,0,0.00,0,96400,"[45,63,100,63,81,81,63,81,81,63,81,81]",2026-02-06,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic
what fruit is good for,62,62,70,63,0.04,https://proactivwellnesscenters.com/fruits-and-their-surprising-benefits/,0,0,0.00,0.03,1450000000,"[53,6,65,0,0,0,53,0,0,0,53,0]",2026-01-31,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
weight loss frederick,22,22,50,0,9.77,https://proactivwellnesscenters.com/pwc-max-weight-loss-program/frederick/,0,0,0.00,0.88,17500000,"[35,35,50,35,50,35,28,50,50,35,14,14]",2026-02-07,"Local pack, People also ask, Related searches, Discussions and forums",commercial,Organic
weight loss frederick,43,43,50,0,9.77,https://proactivwellnesscenters.com/medical-weight-loss/frederick/,0,0,0.00,0.88,17500000,"[35,35,50,35,50,35,28,50,50,35,14,14]",2026-02-07,"Local pack, People also ask, Related searches, Discussions and forums",commercial,Organic
weight loss medical center,86,86,170,48,7.78,https://proactivwellnesscenters.com/medical-weight-loss/fairfax/,0,0,0.00,0.33,1620000000,"[0,7,1,8,8,13,13,7,3,2,1,1]",2026-02-03,"Local pack, Video, People also ask, Related searches, Discussions and forums",commercial,Organic
mold testing fairfax va,26,26,90,11,13.92,https://proactivwellnesscenters.com/cirs-mold-toxicity-treatment/fairfax/,0,0,0.00,0.21,87800,"[23,23,42,80,80,42,33,52,23,33,100,23]",2025-12-25,"Local pack, Image, Related searches",commercial,Organic
weight loss centers in pittsburgh pa,21,21,50,12,9.48,https://proactivwellnesscenters.com/medical-weight-loss/pittsburgh/,0,0,0.00,0.63,13200000,"[35,35,50,21,35,100,50,35,35,28,35,28]",2026-02-08,"Local pack, Video, Image, People also ask, Related searches, AI overview",commercial,Organic
healthy restaurants in woodbridge va,74,74,40,12,0.00,https://proactivwellnesscenters.com/medical-weight-loss/woodbridge/,0,0,0.00,0.1,197000,"[18,18,18,18,18,18,18,18,18,100,18,100]",2026-01-24,"Local pack, Video",commercial,Organic
weight lost near me,48,48,30,50,9.91,https://proactivwellnesscenters.com/medical-weight-loss/fairfax/,0,0,0.00,0.58,1700000000,"[0,71,42,42,57,57,42,100,100,28,0,57]",2026-02-07,"Local pack, Video, People also ask, Related searches",transactional,Organic
weight lost near me,51,51,30,50,9.91,https://proactivwellnesscenters.com/medical-weight-loss/fairfax/,0,0,0.00,0.58,1700000000,"[0,71,42,42,57,57,42,100,100,28,0,57]",2026-02-07,"Local pack, Video, People also ask, Related searches",transactional,Organic
weight lost near me,74,74,30,50,9.91,https://proactivwellnesscenters.com/medical-weight-loss/fairfax/,0,0,0.00,0.58,1700000000,"[0,71,42,42,57,57,42,100,100,28,0,57]",2026-02-07,"Local pack, Video, People also ask, Related searches",transactional,Organic
